unix,date,symbol,open,high,low,close,Volume_ETH,Volume_USD,Average_Price,Return_Ratio
1526364000,15-05-2018 06:00,ETH/USD,732.1,736.67,730.94,733,1043.91,766208.66,733.1775,1
1526367600,15-05-2018 07:00,ETH/USD,733,735.99,730.45,733.82,353.82,259456.87,733.315,1.00018754
1526371200,15-05-2018 08:00,ETH/USD,733.82,734.92,721.58,731.68,3924.55,2860231.46,730.5,0.996348088
1526374800,15-05-2018 09:00,ETH/USD,731.68,731.82,726.98,727.32,601.03,438411.32,729.45,0.994915965
1526378400,15-05-2018 10:00,ETH/USD,727.32,739.37,725.04,733.59,1943.15,1424387.9,731.33,0.997480146
1526382000,15-05-2018 11:00,ETH/USD,733.59,737.14,728.53,730.24,1447.43,1059293.78,732.375,0.998905449
1526385600,15-05-2018 12:00,ETH/USD,730.24,734.74,729.57,733.8,370.95,271730.05,732.0875,0.99851332
1526389200,15-05-2018 13:00,ETH/USD,733.8,734.16,726.08,728.96,934.34,681927.61,730.75,0.996689069
1526392800,15-05-2018 14:00,ETH/USD,728.96,729.42,708.87,711.86,2772.44,1985400.91,719.7775,0.981723389
1526396400,15-05-2018 15:00,ETH/USD,711.86,722.34,708.32,720.64,1350.03,966882.15,715.79,0.976284733
1526400000,15-05-2018 16:00,ETH/USD,720.64,732,716.88,723.75,1305.7,947869.88,723.3175,0.986551688
1526403600,15-05-2018 17:00,ETH/USD,723.75,731,713.82,717.18,1881.71,1363631.83,721.4375,0.983987506
1526407200,15-05-2018 18:00,ETH/USD,717.18,717.2,707.83,712.39,1272.49,905331.26,713.65,0.973365931
1526410800,15-05-2018 19:00,ETH/USD,712.39,715.69,707.28,713,1008.66,717224.89,712.09,0.971238206
1526414400,15-05-2018 20:00,ETH/USD,713,714.99,709.41,712.48,418.57,298321.99,712.47,0.971756498
1526418000,15-05-2018 21:00,ETH/USD,712.48,714.44,707.39,707.84,156.07,111062.32,710.5375,0.969120711
1526421600,15-05-2018 22:00,ETH/USD,707.84,711.29,695.74,700.99,1029.83,722734.02,703.965,0.960156306
1526425200,15-05-2018 23:00,ETH/USD,700.99,710.15,699.05,707.38,255.89,180311.96,704.3925,0.960739384
1526428800,16-05-2018 00:00,ETH/USD,707.38,710.09,698.35,701.99,393.21,276275.08,704.4525,0.96082122
1526432400,16-05-2018 01:00,ETH/USD,701.99,701.99,690.04,692.87,1296.47,897943.58,696.7225,0.95027807
1526436000,16-05-2018 02:00,ETH/USD,692.87,692.99,675.51,681.36,2223.96,1517460.1,685.6825,0.935220325
1526439600,16-05-2018 03:00,ETH/USD,681.36,692.14,679.08,679.76,1247.88,856533.18,683.085,0.931677527
1526443200,16-05-2018 04:00,ETH/USD,679.76,690.99,679.75,685.99,771.93,529479.73,684.1225,0.9330926
1526446800,16-05-2018 05:00,ETH/USD,685.99,686.6,680.2,684.28,250.8,171448.76,684.2675,0.93329037
1526450400,16-05-2018 06:00,ETH/USD,684.28,688.78,682.65,686.67,556.14,381753.03,685.595,0.935100982
1526454000,16-05-2018 07:00,ETH/USD,686.67,694.43,685.79,691.57,399.59,275257.36,689.615,0.940583965
1526457600,16-05-2018 08:00,ETH/USD,691.57,691.57,682.76,687.88,1030.33,706443.93,688.445,0.938988171
1526461200,16-05-2018 09:00,ETH/USD,687.88,693.65,684.38,692.3,217.24,149801.03,689.5525,0.94049872
