unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,Average Price,Return Ratio
1623024000,07-06-2021 00:00,BTC/USD,35810.69,36423.56,35532.17,36316.62,189.4984593,6881943.536,36020.76,4.119152138
1623020400,06-06-2021 23:00,BTC/USD,35544.06,35868.03,35481.11,35808.85,113.3134795,4057625.391,35675.5125,4.079671378
1623016800,06-06-2021 22:00,BTC/USD,35924.85,35952.9,35250,35570.16,195.9080104,6968479.275,35674.4775,4.079553021
1623013200,06-06-2021 21:00,BTC/USD,35968.66,36001.35,35868.75,35956.76,112.32738,4038928.642,35948.88,4.110932304
1623009600,06-06-2021 20:00,BTC/USD,35730.9,35988.71,35609.5,35988.71,74.34087365,2675432.143,35829.455,4.097275465
1623006000,06-06-2021 19:00,BTC/USD,35892.06,35895.24,35706.3,35762.58,45.57117812,1629742.903,35814.045,4.095513255
1623002400,06-06-2021 18:00,BTC/USD,36027.44,36042.17,35850.31,35905.03,63.66162018,2285772.382,35956.2375,4.111773671
1622998800,06-06-2021 17:00,BTC/USD,36242.84,36242.84,35934.02,36048.5,53.90577135,1943222.199,36117.05,4.130163376
1622995200,06-06-2021 16:00,BTC/USD,36163.02,36330.16,36119.31,36261.62,68.50784041,2484205.276,36218.5275,4.14176783
1622991600,06-06-2021 15:00,BTC/USD,36131.09,36439.89,36063.89,36163.93,99.23571492,3588753.448,36199.7,4.139614813
1622988000,06-06-2021 14:00,BTC/USD,35620.26,36225.2,35466.96,36136.68,130.2250469,4705900.847,35862.275,4.101028594
1622984400,06-06-2021 13:00,BTC/USD,35874.09,36032.91,35570.5,35649.16,150.7812269,5375224.081,35781.665,4.091810442
1622980800,06-06-2021 12:00,BTC/USD,35893.49,36138.09,35805.39,35897.43,91.37773309,3280225.777,35933.6,4.109184961
1622977200,06-06-2021 11:00,BTC/USD,36041.07,36145.59,35834.09,35889.07,59.32191279,2129008.281,35977.455,4.114199997
1622973600,06-06-2021 10:00,BTC/USD,36182.94,36229.06,35869.24,36037.99,73.85660627,2661643.638,36079.8075,4.125904512
1622970000,06-06-2021 09:00,BTC/USD,36360.09,36443.11,36160,36186.9,41.82403787,1513482.276,36287.525,4.149658036
1622966400,06-06-2021 08:00,BTC/USD,36158.85,36376.09,35980.17,36337.12,83.81371506,3045549.022,36213.0575,4.141142309
1622962800,06-06-2021 07:00,BTC/USD,35864.51,36209.07,35854.44,36148.34,85.31962992,3084162.991,36019.09,4.118961165
1622959200,06-06-2021 06:00,BTC/USD,36260,36510.58,35754.64,35885.48,169.8321315,6094507.558,36102.675,4.128519524
1622955600,06-06-2021 05:00,BTC/USD,36107.71,36234.11,36020.99,36234.11,78.9003435,2858883.725,36149.23,4.133843318
1622952000,06-06-2021 04:00,BTC/USD,36025.2,36214.46,35979.94,36107.71,90.34888423,3262291.311,36081.8275,4.126135509
1622948400,06-06-2021 03:00,BTC/USD,36171.54,36232.48,35851.79,36015.7,156.583051,5639448.191,36067.8775,4.124540257
1622944800,06-06-2021 02:00,BTC/USD,36236.91,36273.39,36067.46,36140.88,111.4645381,4028426.496,36179.66,4.137323139
1622941200,06-06-2021 01:00,BTC/USD,35608.3,36268.71,35608.3,36236.91,178.916525,6483382.012,35930.555,4.10883675
1622937600,06-06-2021 00:00,BTC/USD,35532.59,35795.01,35437.86,35587.29,197.3963694,7024801.844,35588.1875,4.069685332
1622934000,05-06-2021 23:00,BTC/USD,35079.47,35625.29,35079.47,35532.14,157.4705832,5595266.807,35329.0925,4.040056537
1622930400,05-06-2021 22:00,BTC/USD,34970.25,35349.71,34850.01,35073.62,235.2882955,8252412.268,35060.8975,4.009387112
1622926800,05-06-2021 21:00,BTC/USD,35845.58,35845.58,34849.65,35000,268.7339752,9405689.133,35385.2025,4.046472993
1622923200,05-06-2021 20:00,BTC/USD,35764.83,36020.46,35562.15,35845.63,186.2944841,6677843.148,35798.2675,4.09370902
1622919600,05-06-2021 19:00,BTC/USD,36043.4,36316.74,35701.03,35764.83,177.6907594,6355079.803,35956.5,4.111803689
1622916000,05-06-2021 18:00,BTC/USD,36027.37,36189.07,35909.12,36037.26,117.7073896,4241851.804,36040.705,4.121432948
1622912400,05-06-2021 17:00,BTC/USD,36083.48,36319.99,35870.85,36025.75,103.6512604,3734114.396,36075.0175,4.125356752
1622908800,05-06-2021 16:00,BTC/USD,36330.57,36330.57,36001,36098.55,117.2496734,4232543.198,36190.1725,4.138525296
1622905200,05-06-2021 15:00,BTC/USD,35633.3,36433.17,35577.04,36334.27,173.236849,6294434.445,35994.445,4.116142888
1622901600,05-06-2021 14:00,BTC/USD,35731.7,36008.49,35536.11,35653.57,163.1867126,5818188.88,35732.4675,4.086184464
1622898000,05-06-2021 13:00,BTC/USD,36015.12,36045.45,35701.01,35751.01,171.8978967,6145523.425,35878.1475,4.102843693
1622894400,05-06-2021 12:00,BTC/USD,35900,36245.49,35275,36056.63,354.2110724,12771657.58,35869.28,4.101829651
1622890800,05-06-2021 11:00,BTC/USD,36462.41,36553.96,35686.05,35903.17,254.3294687,9131234.149,36151.3975,4.134091183
1622887200,05-06-2021 10:00,BTC/USD,36336,36677.11,36044.86,36492.44,274.8743484,10030835.67,36387.6025,4.161102393
1622883600,05-06-2021 09:00,BTC/USD,37805.4,37846.02,36003.55,36347.87,313.8420496,11407490.02,37000.71,4.231214269
1622880000,05-06-2021 08:00,BTC/USD,37592.44,37870.24,37453.37,37793.45,97.26782254,3676086.588,37677.375,4.30859426
1622876400,05-06-2021 07:00,BTC/USD,37718.6,37927.93,37555.86,37596.51,128.0656905,4814823.014,37699.725,4.311150093
1622872800,05-06-2021 06:00,BTC/USD,37631.82,37843.4,37590.83,37702.84,90.6791793,3418862.588,37692.2225,4.310292145
1622869200,05-06-2021 05:00,BTC/USD,37681.14,37755.63,37499.05,37613.77,50.35979907,1894221.899,37637.3975,4.304022635
1622865600,05-06-2021 04:00,BTC/USD,37451.62,37726.67,37440,37695.64,104.7827679,3949853.495,37578.4825,4.297285414
1622862000,05-06-2021 03:00,BTC/USD,37693.94,37778.15,37403.38,37403.38,63.01416823,2356942.88,37569.7125,4.296282521
1622858400,05-06-2021 02:00,BTC/USD,37722.02,37785.58,37372.59,37648.18,125.6991559,4732344.446,37632.0925,4.303415982
1622854800,05-06-2021 01:00,BTC/USD,37700.87,37868.59,37572.37,37722.02,130.8080013,4934342.042,37715.9625,4.313006932
1622851200,05-06-2021 00:00,BTC/USD,36851.58,37787,36662.3,37700.87,246.0074036,9274693.141,37250.4375,4.259771845
1622847600,04-06-2021 23:00,BTC/USD,37124.87,37227.02,36511.07,36887.32,179.9390272,6637468.475,36937.57,4.223993898
1622844000,04-06-2021 22:00,BTC/USD,37232.68,37271.93,37090.6,37124.9,77.63870848,2882329.288,37180.0275,4.251720113
1622840400,04-06-2021 21:00,BTC/USD,37073.72,37275,37044.74,37224.57,95.42882715,3552297.056,37154.5075,4.248801775
1622836800,04-06-2021 20:00,BTC/USD,36828.09,37136.77,36828.09,37054.71,136.6238306,5062556.42,36961.915,4.226777869
1622833200,04-06-2021 19:00,BTC/USD,37134.15,37231.45,36751.22,36835.04,148.8746793,5483804.767,36987.965,4.229756816
1622829600,04-06-2021 18:00,BTC/USD,37118.06,37202.47,36991.49,37140.74,134.1243542,4981477.766,37113.19,4.244076914
1622826000,04-06-2021 17:00,BTC/USD,36920.89,37288.56,36838.59,37118.07,162.2667034,6023026.854,37041.5275,4.235881953
1622822400,04-06-2021 16:00,BTC/USD,36995.56,37090.15,36764.87,36926.26,129.0376691,4764878.519,36944.21,4.224753215
1622818800,04-06-2021 15:00,BTC/USD,36741.52,37084.08,36666.66,37000,257.9676948,9544804.706,36873.065,4.216617432
1622815200,04-06-2021 14:00,BTC/USD,36763.86,36900.99,36172.8,36741.52,391.3150985,14377511.52,36644.7925,4.190513342
1622811600,04-06-2021 13:00,BTC/USD,36966.12,37020.33,36625.52,36746.06,245.6233921,9025691.903,36839.5075,4.212779966
1622808000,04-06-2021 12:00,BTC/USD,36583.72,37157.66,35576.67,36905.23,741.8611634,27378556.86,36555.82,4.180338897
1622804400,04-06-2021 11:00,BTC/USD,36636.8,36837.16,36374.69,36586.62,213.6292352,7815971.648,36608.8175,4.186399423
1622800800,04-06-2021 10:00,BTC/USD,36857.46,37024.45,36565.6,36641.98,183.2402416,6714285.266,36772.3725,4.205102746
1622797200,04-06-2021 09:00,BTC/USD,36719.98,36863.48,36373.8,36856.13,224.0458007,8257461.157,36703.3475,4.197209396
1622793600,04-06-2021 08:00,BTC/USD,36588.55,36837.5,36263.16,36724.83,284.1037139,10433660.6,36603.51,4.185792484
1622790000,04-06-2021 07:00,BTC/USD,36777.29,36820.21,36288,36621.98,377.8803342,13838726.04,36626.87,4.188463816
1622786400,04-06-2021 06:00,BTC/USD,36720.37,37040.2,36566.8,36793.51,169.7642499,6246222.626,36780.22,4.206000147
1622782800,04-06-2021 05:00,BTC/USD,37595.31,37700,36578.17,36744.23,559.1867323,20546885.9,37154.4275,4.248792626
1622779200,04-06-2021 04:00,BTC/USD,37947.07,37947.07,37504.81,37583.41,135.6142907,5096847.488,37745.59,4.316394983
1622775600,04-06-2021 03:00,BTC/USD,37802.95,38146.94,37590.94,37960.98,160.9564385,6110064.144,37875.4525,4.331245403
1622772000,04-06-2021 02:00,BTC/USD,37917.94,37923.29,37400,37802.95,229.1012189,8660701.922,37761.045,4.318162339
1622768400,04-06-2021 01:00,BTC/USD,38684.13,38684.13,37612.03,37915.64,429.4928892,16284497.77,38223.9825,4.371101533
1622764800,04-06-2021 00:00,BTC/USD,39242.94,39277.36,38602.54,38685.04,118.4697942,4583008.727,38951.97,4.454350505
1622761200,03-06-2021 23:00,BTC/USD,38901.17,39250,38800.77,39219.88,182.6980874,7165397.064,39042.955,4.46475509
1622757600,03-06-2021 22:00,BTC/USD,38734.77,39001.19,38719.17,38909.29,113.606875,4420362.845,38841.105,4.441672544
1622754000,03-06-2021 21:00,BTC/USD,38701.82,38985.53,38644.84,38771.19,109.1494748,4231855.024,38775.845,4.43420974
1622750400,03-06-2021 20:00,BTC/USD,38576.41,38729.88,38539.37,38713.77,111.1946074,4304762.457,38639.8575,4.418658897
1622746800,03-06-2021 19:00,BTC/USD,38545.39,38669.94,38464,38598.24,226.962555,8760355.169,38569.3925,4.410600875
1622743200,03-06-2021 18:00,BTC/USD,38816.15,38945.56,38537.06,38582.16,91.31572836,3523158.042,38720.2325,4.427850176
1622739600,03-06-2021 17:00,BTC/USD,38908.73,39008.11,38736.46,38813.97,86.4787656,3356584.214,38866.8175,4.444612896
1622736000,03-06-2021 16:00,BTC/USD,38564.99,38974.47,38446.37,38905.46,93.30707627,3630154.724,38722.8225,4.428146355
1622732400,03-06-2021 15:00,BTC/USD,38641.11,38783.94,38427.69,38573.06,178.8703725,6899577.61,38606.45,4.414838584
1622728800,03-06-2021 14:00,BTC/USD,38447.33,38741.05,38347.9,38642.35,178.9251535,6914088.404,38544.6575,4.407772306
1622725200,03-06-2021 13:00,BTC/USD,39038.17,39299.52,38342.6,38455.31,351.1980145,13505428.52,38783.9,4.435130869
1622721600,03-06-2021 12:00,BTC/USD,38794.5,39111,38569.82,39033.14,228.1971987,8907253.204,38877.115,4.445790466
1622718000,03-06-2021 11:00,BTC/USD,39275.02,39318.76,38713.25,38784.81,308.2334434,11954775.54,39022.96,4.462468563
1622714400,03-06-2021 10:00,BTC/USD,39129.8,39490,39019.55,39282.91,175.7140039,6902557.402,39230.565,4.486209222
1622710800,03-06-2021 09:00,BTC/USD,38842.06,39219.84,38820.76,39135.72,194.0884975,7595793.095,39004.595,4.460368434
1622707200,03-06-2021 08:00,BTC/USD,38663.16,38911.8,38515.96,38818.76,145.9855286,5666977.196,38727.42,4.428672102
1622703600,03-06-2021 07:00,BTC/USD,38969.47,39036.52,38561.97,38662.07,142.0097963,5490392.687,38807.5075,4.437830504
1622700000,03-06-2021 06:00,BTC/USD,38800.68,38998.94,38610.99,38961.48,281.7764135,10978426.1,38843.0225,4.44189182
1622696400,03-06-2021 05:00,BTC/USD,38016.49,38900,38013.86,38796.98,250.083187,9702472.402,38431.8325,4.394870209
1622692800,03-06-2021 04:00,BTC/USD,37653.17,38068.81,37620.2,37980.94,144.9960715,5507087.093,37830.78,4.326136881
1622689200,03-06-2021 03:00,BTC/USD,37388.86,37684,37356.28,37656.29,128.614496,4843144.76,37521.3575,4.290752887
1622685600,03-06-2021 02:00,BTC/USD,37284.22,37436,37176.06,37416.9,74.58428745,2790712.825,37328.295,4.268675235
1622682000,03-06-2021 01:00,BTC/USD,37437.07,37603.18,37240,37299.55,75.64730024,2821610.258,37394.95,4.276297564
1622678400,03-06-2021 00:00,BTC/USD,37585.12,37891.42,37299.51,37488.54,185.3059972,6946851.289,37566.1475,4.295874845
1622674800,02-06-2021 23:00,BTC/USD,37535.95,37755.22,37454.83,37589.36,84.63034087,3181200.35,37583.84,4.29789807
1622671200,02-06-2021 22:00,BTC/USD,37810.3,37888.56,37351.8,37547.97,167.4623674,6287871.948,37649.6575,4.305424627
1622667600,02-06-2021 21:00,BTC/USD,37747.49,37951.04,37690.73,37798.9,101.8270784,3848951.554,37797.04,4.322278545
1622664000,02-06-2021 20:00,BTC/USD,37841.93,37948.31,37595.64,37749.27,176.9874577,6681147.329,37783.7875,4.320763056
1622660400,02-06-2021 19:00,BTC/USD,38017.8,38038.13,37800,37895.52,104.9880076,3978575.143,37937.8625,4.338382295
1622656800,02-06-2021 18:00,BTC/USD,38013.38,38073.3,37753.77,38017.8,97.91568119,3722538.784,37964.5625,4.341435572
1622653200,02-06-2021 17:00,BTC/USD,37910,38090,37738.24,38026.25,52.19221341,1984674.155,37941.1225,4.338755092
1622649600,02-06-2021 16:00,BTC/USD,38098.97,38222.86,37714.25,37882.96,255.2943882,9671307.096,37979.76,4.343173481
1622646000,02-06-2021 15:00,BTC/USD,37880,38256.3,37880,38034.88,295.4550148,11237596.03,38012.795,4.346951197
1622642400,02-06-2021 14:00,BTC/USD,37547.87,38089.99,37448.56,37874.28,337.989184,12801096.99,37740.175,4.315775751
