unix,date,symbol,open,high,low,close,Volume LTC,Volume USD,Average Price,Return Ratio
1623024000,07-06-2021 00:00,LTC/USD,176.34,178.79,175.13,178.12,3950.433767,703651.2625,177.095,1.200420261
1623020400,06-06-2021 23:00,LTC/USD,174.41,176.41,174.03,176.29,1587.694272,279894.6232,175.285,1.188151362
1623016800,06-06-2021 22:00,LTC/USD,175.72,175.76,172.83,174.36,4077.252332,710909.7167,174.6675,1.183965701
1623013200,06-06-2021 21:00,LTC/USD,175.26,175.83,174.58,175.72,387.2241436,68043.02651,175.3475,1.188575011
1623009600,06-06-2021 20:00,LTC/USD,173.86,175.35,173.4,175.35,3419.138131,599545.8713,174.49,1.182762536
1623006000,06-06-2021 19:00,LTC/USD,174.79,175.15,173.63,174.01,1128.003468,196283.8834,174.395,1.182118588
1623002400,06-06-2021 18:00,LTC/USD,175.86,176.09,174.98,175.15,1218.714273,213457.805,175.52,1.189744285
1622998800,06-06-2021 17:00,LTC/USD,178.6,178.6,175.87,175.89,1116.74853,196424.899,177.24,1.201403128
1622995200,06-06-2021 16:00,LTC/USD,176.5,178.72,176.3,178.62,2824.376615,504490.1509,177.535,1.203402755
1622991600,06-06-2021 15:00,LTC/USD,177.11,178.33,175.85,176.41,2248.329207,396627.7554,176.925,1.199267933
1622988000,06-06-2021 14:00,LTC/USD,174.73,177.23,174.19,176.97,2382.714654,421669.0123,175.78,1.191506668
1622984400,06-06-2021 13:00,LTC/USD,176.3,177.89,174.49,175.06,2099.594659,367555.0411,175.935,1.19255732
1622980800,06-06-2021 12:00,LTC/USD,176.46,177.33,175.84,176.21,780.8977222,137601.9876,176.46,1.196115978
1622977200,06-06-2021 11:00,LTC/USD,178.5,178.56,176.39,176.63,2383.53089,421003.0611,177.52,1.203301079
1622973600,06-06-2021 10:00,LTC/USD,178.24,178.37,177.29,178.26,1140.286014,203267.3848,178.04,1.206825846
1622970000,06-06-2021 09:00,LTC/USD,179.97,179.97,177.98,178.29,551.2849679,98288.59692,179.0525,1.213688973
1622966400,06-06-2021 08:00,LTC/USD,179.14,179.89,178.54,179.77,1192.58458,214390.9299,179.335,1.21560387
1622962800,06-06-2021 07:00,LTC/USD,177.91,179.16,177.71,178.88,1582.219621,283027.4459,178.415,1.209367745
1622959200,06-06-2021 06:00,LTC/USD,179.33,180.08,176.48,177.64,3221.083255,572193.2294,178.3825,1.209147447
1622955600,06-06-2021 05:00,LTC/USD,177.67,179.3,177.53,179.15,1292.057638,231472.1259,178.4125,1.209350799
1622952000,06-06-2021 04:00,LTC/USD,176.63,177.98,176.43,177.62,2079.389332,369341.1331,177.165,1.200894748
1622948400,06-06-2021 03:00,LTC/USD,176.2,176.9,175.37,176.75,3683.935799,651135.6524,176.305,1.195065327
1622944800,06-06-2021 02:00,LTC/USD,176.62,176.87,175.54,176.07,1279.062686,225204.5671,176.275,1.194861975
1622941200,06-06-2021 01:00,LTC/USD,173.49,176.62,173.48,176.57,2005.755054,354156.1699,175.04,1.186490654
1622937600,06-06-2021 00:00,LTC/USD,172.89,174.01,172.35,173.36,3349.39643,580651.3651,173.1525,1.173696429
1622934000,05-06-2021 23:00,LTC/USD,170.64,173.33,170.64,172.78,2957.544847,511004.5986,171.8475,1.164850621
1622930400,05-06-2021 22:00,LTC/USD,168.9,171.28,168.9,170.41,4933.74325,840759.1872,169.8725,1.151463287
1622926800,05-06-2021 21:00,LTC/USD,173.46,173.57,167.68,168.97,5774.899878,975784.8324,170.92,1.158563658
1622923200,05-06-2021 20:00,LTC/USD,172.26,175.18,172.24,173.93,3205.750076,557576.1108,173.4025,1.175391029
1622919600,05-06-2021 19:00,LTC/USD,173.32,174.2,172.08,172.62,1425.093385,245999.6201,173.055,1.173035536
1622916000,05-06-2021 18:00,LTC/USD,173.39,173.93,172.41,173.3,1504.76554,260775.8681,173.2575,1.174408161
1622912400,05-06-2021 17:00,LTC/USD,173,174.12,172.31,172.85,1698.185559,293531.3739,173.07,1.173137212
1622908800,05-06-2021 16:00,LTC/USD,174.42,174.42,172.75,173.13,1476.590874,255642.1781,173.68,1.177272034
1622905200,05-06-2021 15:00,LTC/USD,171.72,174.63,171.16,174.45,3924.905699,684699.7992,172.99,1.17259494
1622901600,05-06-2021 14:00,LTC/USD,172.26,174,171.65,171.97,2479.006187,426314.694,172.47,1.169070173
1622898000,05-06-2021 13:00,LTC/USD,173.95,174.39,172.37,172.38,3127.282555,539080.9668,173.2725,1.174509837
1622894400,05-06-2021 12:00,LTC/USD,173.6,175.04,170.22,173.94,4717.279237,820523.5505,173.2,1.174018403
1622890800,05-06-2021 11:00,LTC/USD,176.64,177.19,172.68,173.6,5274.232374,915606.7402,175.0275,1.186405924
1622887200,05-06-2021 10:00,LTC/USD,175.52,178.2,174.49,176.88,5716.859913,1011198.181,176.2725,1.194845029
1622883600,05-06-2021 09:00,LTC/USD,183.28,183.3,172.21,175.52,3413.513222,599139.8407,178.5775,1.210469235
1622880000,05-06-2021 08:00,LTC/USD,182.56,183.57,181.47,183.33,4036.592225,740028.4526,182.7325,1.238633475
1622876400,05-06-2021 07:00,LTC/USD,182.99,185.58,182.48,182.52,4091.372616,746757.3298,183.3925,1.243107217
1622872800,05-06-2021 06:00,LTC/USD,182.47,183.29,182.24,183,1659.154855,303625.3385,182.75,1.238752097
1622869200,05-06-2021 05:00,LTC/USD,183.12,183.32,181.76,182.48,1695.70954,309433.0769,182.67,1.238209825
1622865600,05-06-2021 04:00,LTC/USD,182.19,183.41,182.19,183.12,2049.213516,375251.979,182.7275,1.238599583
1622862000,05-06-2021 03:00,LTC/USD,183.82,184.07,181.98,182.15,1597.769274,291033.6733,183.005,1.240480588
1622858400,05-06-2021 02:00,LTC/USD,184.58,184.62,183.17,184.02,1851.240609,340665.2968,184.0975,1.247885987
1622854800,05-06-2021 01:00,LTC/USD,183.39,184.65,182.92,184.08,1457.746189,268341.9184,183.76,1.245598278
1622851200,05-06-2021 00:00,LTC/USD,179.15,184.19,177.68,183.86,3294.26614,605683.7726,181.22,1.228381149
1622847600,04-06-2021 23:00,LTC/USD,180.7,181.05,176.74,178.62,3327.490001,594356.264,179.2775,1.215214113
1622844000,04-06-2021 22:00,LTC/USD,181.31,181.42,179.74,180.55,2230.111685,402646.6647,180.755,1.225229195
1622840400,04-06-2021 21:00,LTC/USD,179.38,181.49,179.3,181.12,1279.301433,231707.0755,180.3225,1.222297538
1622836800,04-06-2021 20:00,LTC/USD,178.52,180.13,178.52,179.3,1282.054455,229872.3637,179.1175,1.214129569
1622833200,04-06-2021 19:00,LTC/USD,179.25,179.68,177.51,178.22,2029.728014,361738.1266,178.665,1.211062344
1622829600,04-06-2021 18:00,LTC/USD,178.65,179.67,178.21,179.25,892.9139124,160054.8188,178.945,1.212960296
1622826000,04-06-2021 17:00,LTC/USD,176.79,179.28,176.32,178.42,962.2586452,171686.1875,177.7025,1.204538137
1622822400,04-06-2021 16:00,LTC/USD,177.38,178.19,175.81,176.08,2267.676222,399292.4292,176.865,1.198861229
1622818800,04-06-2021 15:00,LTC/USD,176.2,177.73,175.81,177.52,1402.914854,249045.4449,176.815,1.198522309
1622815200,04-06-2021 14:00,LTC/USD,176.62,177.36,173.89,176.58,2316.931286,409123.7265,176.1125,1.193760485
1622811600,04-06-2021 13:00,LTC/USD,176.5,177.04,175.06,176.68,1314.736993,232287.732,176.32,1.195167003
1622808000,04-06-2021 12:00,LTC/USD,173.81,177,169.03,176.19,8296.521415,1461764.108,174.0075,1.179491959
1622804400,04-06-2021 11:00,LTC/USD,174.87,175.62,172.86,174.04,2299.17804,400148.9461,174.3475,1.181796614
1622800800,04-06-2021 10:00,LTC/USD,176.44,177.38,174.43,174.81,1365.661712,238731.3239,175.765,1.191404992
1622797200,04-06-2021 09:00,LTC/USD,173.89,176.46,172.48,176.46,3096.769559,546455.9565,174.8225,1.185016353
1622793600,04-06-2021 08:00,LTC/USD,173.15,175.12,171.22,174.06,3871.39141,673854.3888,173.3875,1.175289353
1622790000,04-06-2021 07:00,LTC/USD,174.44,174.58,171.05,173.71,4593.251289,797893.6815,173.445,1.175679111
1622786400,04-06-2021 06:00,LTC/USD,176.21,177.52,172.81,174.44,2122.039016,370168.4859,175.245,1.187880226
1622782800,04-06-2021 05:00,LTC/USD,182.63,182.63,174.62,175.8,8606.821378,1513079.198,178.92,1.212790836
1622779200,04-06-2021 04:00,LTC/USD,183,183.76,181.63,182.27,1295.425105,236117.1339,182.665,1.238175933
1622775600,04-06-2021 03:00,LTC/USD,182.56,184.61,181.19,183.14,1907.807721,349395.906,182.875,1.239599397
1622772000,04-06-2021 02:00,LTC/USD,182.87,182.89,179.64,182.53,3919.115874,715356.2204,181.9825,1.233549677
1622768400,04-06-2021 01:00,LTC/USD,189.38,189.74,180.61,183.01,5839.553156,1068696.623,185.685,1.258646693
1622764800,04-06-2021 00:00,LTC/USD,193.64,193.85,189.32,190.1,2052.856646,390248.0484,191.7275,1.299605158
1622761200,03-06-2021 23:00,LTC/USD,190.89,193.7,190.15,193.23,1230.580839,237785.1354,191.9925,1.301401434
1622757600,03-06-2021 22:00,LTC/USD,189.22,191.81,189.16,191.03,898.6146417,171662.355,190.305,1.289962888
1622754000,03-06-2021 21:00,LTC/USD,190.65,191.42,189.17,189.49,953.5074267,180680.1223,190.1825,1.289132535
1622750400,03-06-2021 20:00,LTC/USD,189.47,190.65,189.09,190.65,1060.299078,202146.0193,189.965,1.287658233
1622746800,03-06-2021 19:00,LTC/USD,189.17,190.21,188.96,189.46,657.7178935,124611.2321,189.45,1.284167359
1622743200,03-06-2021 18:00,LTC/USD,191.86,192.12,189.51,189.94,523.2330705,99382.88941,190.8575,1.293707953
