unix,date,symbol,open,high,low,close,Volume XRP,Volume USD,Average Price,Return Ratio
1623024000,07-06-2021 00:00,XRP/USD,0.9464,0.97559,0.94568,0.9696,5254251.569,5094522.321,0.9593175,1.290923465
1623020400,06-06-2021 23:00,XRP/USD,0.93124,0.94692,0.93066,0.94692,2609059.456,2470570.58,0.938935,1.263495374
1623016800,06-06-2021 22:00,XRP/USD,0.94,0.94017,0.92742,0.92976,770147.6192,716052.4504,0.9343375,1.257308663
1623013200,06-06-2021 21:00,XRP/USD,0.93613,0.94172,0.93271,0.94085,2597310.748,2443679.817,0.9378525,1.262038688
1623009600,06-06-2021 20:00,XRP/USD,0.93257,0.93582,0.92788,0.9358,794468.8123,743463.9146,0.9330175,1.25553238
1623006000,06-06-2021 19:00,XRP/USD,0.93357,0.93484,0.93157,0.93268,131464.722,122614.5169,0.933165,1.255730866
1623002400,06-06-2021 18:00,XRP/USD,0.93805,0.93805,0.93292,0.93472,376839.53,352239.4455,0.935935,1.259458368
1622998800,06-06-2021 17:00,XRP/USD,0.94327,0.94327,0.93698,0.93813,682562.3397,640332.2077,0.9404125,1.2654836
1622995200,06-06-2021 16:00,XRP/USD,0.93986,0.945,0.93817,0.94398,1136108.211,1072463.429,0.9417525,1.267286796
1622991600,06-06-2021 15:00,XRP/USD,0.93498,0.94214,0.93366,0.94104,2848884.398,2680914.174,0.937955,1.262176619
1622988000,06-06-2021 14:00,XRP/USD,0.92704,0.9363,0.9215,0.93497,3988182.58,3728831.067,0.9299525,1.251407906
1622984400,06-06-2021 13:00,XRP/USD,0.93241,0.93639,0.92662,0.92734,875398.675,811792.2072,0.93069,1.252400336
1622980800,06-06-2021 12:00,XRP/USD,0.93183,0.93781,0.92966,0.93242,1673159.373,1560087.262,0.93293,1.255414634
1622977200,06-06-2021 11:00,XRP/USD,0.93346,0.93523,0.92828,0.93182,637518.7653,594052.7359,0.9321975,1.254428932
1622973600,06-06-2021 10:00,XRP/USD,0.93807,0.93811,0.92679,0.93253,529948.5026,494192.8772,0.933875,1.256686291
1622970000,06-06-2021 09:00,XRP/USD,0.94052,0.94309,0.93659,0.93707,592142.1814,554878.6739,0.9393175,1.264010093
1622966400,06-06-2021 08:00,XRP/USD,0.9416,0.94562,0.93446,0.94067,538470.7393,506523.2703,0.9405875,1.265719092
1622962800,06-06-2021 07:00,XRP/USD,0.93898,0.94364,0.93768,0.94148,426717.4341,401745.9299,0.940445,1.265527334
1622959200,06-06-2021 06:00,XRP/USD,0.94464,0.95,0.93451,0.93794,848968.0232,796281.0676,0.9417725,1.267313709
1622955600,06-06-2021 05:00,XRP/USD,0.93985,0.945,0.93816,0.94383,307606.9871,290328.7026,0.94171,1.267229605
